,image_link,group_id,entity_name,entity_value,extracted_text
0,https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,"PROPOS' NATUREJ INGREDIENT MENAGER MULTI-USAGE TERRE dE SOMMIERES 100% NATUREL Argile 10036 pure et   naturelle Lerre Sommierespresente des proprietesabsorbantes qui permettent nelloyage sec des laches recalcitrantes Sur toutes les surfaces (moquette; tapis; parquel_- Elle est aussi efficace desodoriser le linge: Ingredient Bentonite Dosage conseille Sclon usage. [Aan Lunponpacel fenc cetl{ I 0t inunEi4 Arecoudong Rtiu 60 Lnfonr 0o @500 g 2u50u2irimul LABORATOIRE FROPOSNATURE UCUGRLDeC . [uacoJi JHH4E04 e+raaly 'Mp""0pr-nJincon 780 103 Pour 'Pnz"
1,https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,LLa eelE=_ 62 R RRIFICH LEBENSMITTELECHT Cwwv DAV GEPRAGTES DESIGN As YQULIKE BEST Designed in V Vv' cakeA Y [Bexlin] LIZENZIERTE UND GESCHITZTE DESIGNS TEA WITH cockics
2,https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"COMPOSITION Serving Size: Tablet (0.709 g) Each serving contains (Approx Values): Ingredient Qty / Serving 90 ROA# #PHOSPHOcomplex@ Silybin (Sillybum marianum) 200 mg Dandelion (Taraxacum officinale) leaf extract 10.1 100 mg Kutki (Picrorhiza kurroalrhizome extract 0.5% Bitters 50 mg Kasani (Cichorium intybus) seed extract - 1% Bitters 25 mg Punarnava (Boerhavia diffusa) root extract 0.07% alkaloids 25 mg # Bhui amla (Phyllanthus amarus) WP extract - 0.57 Bitters 25 mg Amla (Phyllanthus emblica) fruit extract - 10% Tannins 25 mg Licorice (Glycyrrhiza glabra) root extract 5k Glycyrrhizin 25 mg Vitamin E 10 mg 100 Piper nigrum fruit extract _ 95% Piperine 5 mg NUTRITIONAL INFORMATION PER SERVING (ApprOx. VALUES): Nutrients Oty: / Serving %RDA"" Energy 3.04 kcal 0.13 Carbohydrate 0.51 g (Sugars) 0.2g Protein 0.04 g 0.07 Fat 0.09 g ""YRDA values established as per ICMR 2010 for sedentary lifestyle-Men #*% RDA not established by ICMR"
3,https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,3 3 1 1 I I IW! # 5833 1 3 1 1 1 H 0 L 1 W # I 1 1  Hu I M 1 H H 1 V 1 J Hl U 0 H IH J 1 1 H 1 Hlh 1 Helu 1 # 1 1 1 1 H H 1 0 1
4,https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,Horbaach' HIGH StRE NGTH PSYLLIUM HUSK PLANTAGO OVATA 1400mG PLANT SEEDS FOOD 365 VEGAN SUPPLEMENT CAPSULES
5,https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,"774 Naturally-Sourced Psyllium HIGH High strength 140Omg per serving Suitable for Vegans & Vegetarians HOrbaach"" Horbaach StRENGTh PSYLLIUM HUSK 1400mG PLANTAGO ' OVATA PLANT SEEDS FOOd SUPPLEMENT 365 VEGAN CAPSULES"
6,https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"HOrbaach Directions: For adults, take two (2) vegan capsules daily, preferably with a meal. Do not exceed stated dose Nutrition Information HIG H StRE NGTH Typically Per Daily Dose Psyllium Husk Powder 1400mg PSYLLIUM ' Ingredients: Psyllium Husk Powder , Capsule Shell (Hy- droxypropylmethylcellulose) , Anti-Caking Agents (Mag- nesium Salts of Fatty Acids, Silicon Dioxide): May contain Sesame Seeds & Mustard: For allergens, HUSK see the ingredients in bold: Notice: Take this product with 22Oml of fluids Taking this product without adequate fluid cause the pOS- PLANTAGO OVATA sibility of choking: Do not use this product if you have 140OmG difficulty swallowing: If you experience chest pain, vom- PLANT SEEDS iting or difficulty in swallowing or breathing after taking this product; seek immediate medical attention. Do not take before sleeping: Fibre products can affect the ab- sorption of many medications. Do not take this product within 1.5 hours of taking medication. Free From: Artificial Colour , Artificial Flavour, Artificial Sweetener, Preservatives: FOOD VEGAN SUPPLEMENT 365 CAPSULES SUITABLE FOR VEGETARIANS & VEGANS Hu16790 € HOcbaACh may"
7,https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,VEGAN WHEAT FREE soy FREE OVATA DAIRY FREE FREE FROM PRESERVATIVES HOrBaaCh Horbaach StRE NGTh HIGH PSYLLIUM HUSK PLANTAGO = SEEDS PLANT = 140OmG VEGAN 365 CAPSULES FOOD SUPPLEMENT
8,https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,Horbaach V 100% HIGHEST QUALITY TO STRENGTH GMP ) HUsk OVATA 140OmG SEEDS VEGAN FOOD 365 HOcbZach Horbaach' GMP ( HIGH PSYLLIUM ANUFACTURSS IN 4 S PLANTAGO 5 ANUFACTUR O PLANT 4 IN CAPSULES SUPPLEMENT
9,https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,NEW LOOK SAME TRUSTEDQUALITY OLD Horbaach NEW Horbaach' HIGh STRENGTH PSYLLIUM hiGH StRE NGTh HUSK PSYLLIUM I4OOMG perving HUSK PLANTAGO OVATA 1400mG PLANT SEEDS FOOD VEGAN SUPPLEMENT 365 CAPSULES FOop 365 VEGAN SUPPLEMENT CAPSULES PACKAGING MAY VARY HOcbaach
